"name","position","perf.index","std.w","std.sv","std.k","std.era","std.whip","std.r","std.hr","std.rbi","std.sb","std.obp","std.w.obp","w","sv","k","era","whip","r","hr","rbi","sb","obp","w.obp"
"25","R.A. Dickey","SP",11.9695019427008,5.23382920635151,-0.036909560283025,4.57650019200906,0.980367703850365,1.23550098754113,NA,NA,NA,NA,NA,NA,13,0,162.333333333333,4.00666666666667,1.27666666666667,NA,NA,NA,NA,NA,NA
"26","Francisco Liriano","SP",11.9052616093753,4.79687106274795,-0.036909560283025,5.00354378191943,1.76312024571558,1.28816458350063,NA,NA,NA,NA,NA,NA,12,0,176,3.36333333333333,1.26666666666667,NA,NA,NA,NA,NA,NA
"27","Ian Kennedy","SP",11.8633982934165,4.3599129191444,-0.036909560283025,5.3472617933107,1.36160469315259,1.37593724343314,NA,NA,NA,NA,NA,NA,11,0,187,3.69333333333333,1.25,NA,NA,NA,NA,NA,NA
"28","Tyson Ross","SP",11.7780176838177,4.65121834821344,-0.036909560283025,4.97229668997476,1.85640163671506,1.41104630740614,NA,NA,NA,NA,NA,NA,11.6666666666667,0,175,3.28666666666667,1.24333333333333,NA,NA,NA,NA,NA,NA
"29","Yordano Ventura","SP",11.7429021442544,5.08817649181699,-0.036909560283025,4.53483740274951,1.46299750945638,1.21794645555462,NA,NA,NA,NA,NA,NA,12.6666666666667,0,161,3.61,1.28,NA,NA,NA,NA,NA,NA
"30","Gio Gonzalez","SP",11.6613726652779,4.65121834821344,-0.036909560283025,4.88897111145567,1.67389456736825,1.42860083939264,NA,NA,NA,NA,NA,NA,11.6666666666667,0,172.333333333333,3.43666666666667,1.24,NA,NA,NA,NA,NA,NA
"31","Hyun-Jin Ryu","SP",11.6060253716848,5.08817649181699,-0.036909560283025,4.35777054839643,1.89290305058442,1.86746413905518,NA,NA,NA,NA,NA,NA,12.6666666666667,0,155.333333333333,3.25666666666667,1.15666666666667,NA,NA,NA,NA,NA,NA
"32","Rick Porcello","SP",11.4963343170791,5.52513463542054,-0.036909560283025,3.80573859070742,1.33321470458753,1.30571911548713,NA,NA,NA,NA,NA,NA,13.6666666666667,0,137.666666666667,3.71666666666667,1.26333333333333,NA,NA,NA,NA,NA,NA
"33","Hisashi Iwakuma","SP",11.476339547837,4.94252377728247,-0.036909560283025,4.33693915376665,1.77934309632418,2.06056399090669,NA,NA,NA,NA,NA,NA,12.3333333333333,0,154.666666666667,3.35,1.12,NA,NA,NA,NA,NA,NA
"34","Chris Tillman","SP",11.4231021707069,4.94252377728247,-0.036909560283025,4.33693915376665,1.0695933821977,1.21794645555462,NA,NA,NA,NA,NA,NA,12.3333333333333,0,154.666666666667,3.93333333333333,1.28,NA,NA,NA,NA,NA,NA
"35","Jered Weaver","SP",11.3415466383148,5.23382920635151,-0.036909560283025,3.97238974774561,1.25210045154451,1.53392803131165,NA,NA,NA,NA,NA,NA,13,0,143,3.78333333333333,1.22,NA,NA,NA,NA,NA,NA
"36","Alex Wood","SP",11.3249995669537,4.3599129191444,-0.036909560283025,4.80564553293657,1.87262448732367,1.63925522323066,NA,NA,NA,NA,NA,NA,11,0,169.666666666667,3.27333333333333,1.2,NA,NA,NA,NA,NA,NA
"37","Collin McHugh","SP",11.2961914705698,4.50556563367892,-0.036909560283025,4.67024146784304,1.40621753232626,1.53392803131165,NA,NA,NA,NA,NA,NA,11.3333333333333,0,165.333333333333,3.65666666666667,1.22,NA,NA,NA,NA,NA,NA
"38","Matt Shoemaker","SP",11.2518038589,4.94252377728247,-0.036909560283025,4.17028799672846,1.47922036006498,1.76213694713617,NA,NA,NA,NA,NA,NA,12.3333333333333,0,149.333333333333,3.59666666666667,1.17666666666667,NA,NA,NA,NA,NA,NA
"39","Dallas Keuchel","SP",11.2030977141502,4.79687106274795,-0.036909560283025,4.23278218061778,1.36566040580475,1.21794645555462,NA,NA,NA,NA,NA,NA,12,0,151.333333333333,3.69,1.28,NA,NA,NA,NA,NA,NA
"40","Danny Salazar","SP",11.1328035817206,4.21426020460989,-0.036909560283025,4.86813971682589,1.42649609558702,1.67436428720366,NA,NA,NA,NA,NA,NA,10.6666666666667,0,171.666666666667,3.64,1.19333333333333,NA,NA,NA,NA,NA,NA
"41","Jake Arrieta","SP",11.1305300990339,4.3599129191444,-0.036909560283025,4.65982577052815,1.63333744084674,1.55148256329815,NA,NA,NA,NA,NA,NA,11,0,165,3.47,1.21666666666667,NA,NA,NA,NA,NA,NA
"42","Matt Harvey","SP",11.1257879049076,4.06860749007537,-0.036909560283025,4.88897111145567,2.17680293623502,2.1132275868662,NA,NA,NA,NA,NA,NA,10.3333333333333,0,172.333333333333,3.02333333333333,1.11,NA,NA,NA,NA,NA,NA
"43","John Lackey","SP",11.1108399746949,4.79687106274795,-0.036909560283025,4.18070369404335,1.36160469315259,1.55148256329815,NA,NA,NA,NA,NA,NA,12,0,149.666666666667,3.69333333333333,1.21666666666667,NA,NA,NA,NA,NA,NA
"44","Drew Hutchison","SP",11.1088828325849,4.50556563367892,-0.036909560283025,4.55566879737928,0.883030600198732,1.32327364747363,NA,NA,NA,NA,NA,NA,11.3333333333333,0,161.666666666667,4.08666666666667,1.26,NA,NA,NA,NA,NA,NA
"45","Jose Quintana","SP",11.1042568127344,4.3599129191444,-0.036909560283025,4.58691588932394,1.32915899193538,1.37593724343314,NA,NA,NA,NA,NA,NA,11,0,162.666666666667,3.72,1.25,NA,NA,NA,NA,NA,NA
"46","Wade Miley","SP",11.0640619226074,4.65121834821344,-0.036909560283025,4.30569206182199,1.01281340506758,0.989737539730106,NA,NA,NA,NA,NA,NA,11.6666666666667,0,153.666666666667,3.98,1.32333333333333,NA,NA,NA,NA,NA,NA
"47","Chris Archer","SP",11.0374035672501,4.3599129191444,-0.036909560283025,4.5452531000644,1.54411176249941,1.27061005151413,NA,NA,NA,NA,NA,NA,11,0,161.333333333333,3.54333333333333,1.27,NA,NA,NA,NA,NA,NA
"48","C.J. Wilson","SP",11.0190700288425,4.65121834821344,-0.036909560283025,4.30569206182199,0.866807749590126,0.691310495959583,NA,NA,NA,NA,NA,NA,11.6666666666667,0,153.666666666667,4.1,1.38,NA,NA,NA,NA,NA,NA
"49","A.J. Burnett","SP",11.0166197722514,4.3599129191444,-0.036909560283025,4.56608449469417,1.12231764667566,0.989737539730106,NA,NA,NA,NA,NA,NA,11,0,162,3.89,1.32333333333333,NA,NA,NA,NA,NA,NA
"50","Jacob deGrom","SP",10.9934421735592,4.21426020460989,-0.036909560283025,4.63899437589838,1.66172742941179,1.62170069124416,NA,NA,NA,NA,NA,NA,10.6666666666667,0,164.333333333333,3.44666666666667,1.20333333333333,NA,NA,NA,NA,NA,NA
"51","Homer Bailey","SP",10.957957513736,4.21426020460989,-0.036909560283025,4.58691588932394,1.5278889118908,1.69191881919016,NA,NA,NA,NA,NA,NA,10.6666666666667,0,162.666666666667,3.55666666666667,1.19,NA,NA,NA,NA,NA,NA
"52","Wily Peralta","SP",10.9157505407816,4.65121834821344,-0.036909560283025,4.17028799672846,1.00064626711112,0.866855815824596,NA,NA,NA,NA,NA,NA,11.6666666666667,0,149.333333333333,3.99,1.34666666666667,NA,NA,NA,NA,NA,NA
"53","Garrett Richards","SP",10.8545876408896,4.50556563367892,-0.036909560283025,4.23278218061778,1.92129303914948,1.65680975521716,NA,NA,NA,NA,NA,NA,11.3333333333333,0,151.333333333333,3.23333333333333,1.19666666666667,NA,NA,NA,NA,NA,NA
"54","Doug Fister","SP",10.6793947957391,4.94252377728247,-0.036909560283025,3.56617755246502,1.77528738367203,1.67436428720366,NA,NA,NA,NA,NA,NA,12.3333333333333,0,130,3.35333333333333,1.19333333333333,NA,NA,NA,NA,NA,NA
"55","Shelby Miller","SP",10.6273705912596,4.06860749007537,-0.036909560283025,4.45151182423041,1.32915899193538,1.32327364747363,NA,NA,NA,NA,NA,NA,10.3333333333333,0,158.333333333333,3.72,1.26,NA,NA,NA,NA,NA,NA
"56","Anibal Sanchez","SP",10.5906413263976,4.50556563367892,-0.036909560283025,4.00363683969027,1.60089173962952,1.67436428720366,NA,NA,NA,NA,NA,NA,11.3333333333333,0,144,3.49666666666667,1.19333333333333,NA,NA,NA,NA,NA,NA
"57","Trevor Bauer","SP",10.5801727083901,3.77730206100633,-0.036909560283025,4.75356704636214,0.781637783894948,0.849301283838096,NA,NA,NA,NA,NA,NA,9.66666666666667,0,168,4.17,1.35,NA,NA,NA,NA,NA,NA
"58","Yovani Gallardo","SP",10.574662785351,4.3599129191444,-0.036909560283025,4.11820951015403,0.814083485112159,0.937073943770602,NA,NA,NA,NA,NA,NA,11,0,147.666666666667,4.14333333333333,1.33333333333333,NA,NA,NA,NA,NA,NA
"59","Ervin Santana","SP",10.4640939016491,4.06860749007537,-0.036909560283025,4.29527636450711,0.680244967591164,1.04240113568961,NA,NA,NA,NA,NA,NA,10.3333333333333,0,153.333333333333,4.25333333333333,1.31333333333333,NA,NA,NA,NA,NA,NA
