"name","position"
"205","Drew Hutchison","SP"
"206","Doug Fister","SP"
"207","Domonic Brown","OF"
"208","Dexter Fowler","OF"
"209","Devin Mesoraco","C"
"210","Desmond Jennings","OF"
"211","Derek Norris","C"
"212","Derek Holland","SP"
"213","Denard Span","OF"
"214","Dellin Betances","RP"
"215","Dee Gordon","2B"
"216","David Wright","3B"
"217","David Robertson","RP"
"218","David Price","SP"
"219","David Ortiz","DH"
"220","Danny Santana","OF"
"221","Danny Salazar","SP"
"222","Danny Duffy","SP"
"223","Daniel Norris","SP"
"224","Daniel Murphy","2B"
"225","Dalton Pompey","OF"
"226","Dallas Keuchel","SP"
"227","Curtis Granderson","OF"
"228","Craig Kimbrel","RP"
"229","Corey Kluber","SP"
"230","Corey Dickerson","OF"
"231","Collin McHugh","SP"
"232","Cole Hamels","SP"
"233","Cody Allen","RP"
"234","Coco Crisp","OF"
"235","Cliff Lee","SP"
"236","Clayton Kershaw","SP"
"237","Clay Buchholz","SP"
"238","Christian Yelich","OF"
"239","Chris Tillman","SP"
"240","Chris Sale","SP"
"241","Chris Davis","1B"
"242","Chris Carter","DH"
"243","Chris Archer","SP"
"244","Chase Utley","2B"
"245","Charlie Blackmon","OF"
"246","CC Sabathia","SP"
"247","Carlos Santana","1B"
"248","Carlos Martinez","RP"
"249","Carlos Gonzalez","OF"
"250","Carlos Gomez","OF"
"251","Carlos Carrasco","RP"
"252","Carlos Beltran","DH"
"253","Carl Crawford","OF"
"254","C.J. Wilson","SP"
"255","C.J. Cron","DH"
"256","Buster Posey","C"
"257","Bryce Harper","OF"
"258","Brian McCann","C"
"259","Brian Dozier","2B"
"260","Brett Lawrie","3B"
"261","Brett Gardner","OF"
"262","Brett Cecil","RP"
"263","Brandon Phillips","2B"
"264","Brandon Moss","1B"
"265","Brandon McCarthy","SP"
"266","Brandon Belt","1B"
"267","Brad Miller","SS"
"268","Billy Hamilton","OF"
"269","Ben Zobrist","2B"
"270","Ben Revere","OF"
"271","Avisail Garcia","OF"
"272","Aroldis Chapman","RP"
"273","Arismendy Alcantara","OF"
"274","Aramis Ramirez","3B"
"275","Anthony Rizzo","1B"
"276","Anthony Rendon","3B"
"277","Anibal Sanchez","SP"
"278","Angel Pagan","OF"
"279","Andrew Miller","RP"
"280","Andrew McCutchen","OF"
"281","Andrew Heaney","SP"
"282","Andrew Cashner","SP"
"283","Andrelton Simmons","SS"
"284","Alexei Ramirez","SS"
"285","Alex Wood","SP"
"286","Alex Rios","OF"
"287","Alex Gordon","OF"
"288","Alex Cobb","SP"
"289","Albert Pujols","1B"
"290","Adrian Gonzalez","1B"
"291","Adrian Beltre","3B"
"292","Addison Reed","RP"
"293","Adam Wainwright","SP"
"294","Adam LaRoche","1B"
"295","Adam Jones","OF"
"296","Adam Eaton","OF"
"297","Aaron Sanchez","RP"
"298","Aaron Hill","2B"
"299","A.J. Pollock","OF"
"300","A.J. Burnett","SP"
