"name","perf.index","std.w","std.sv","std.k","std.era","std.whip","std.r","std.hr","std.rbi","std.sb","std.obp","std.w.obp","w","sv","k","era","whip","r","hr","rbi","sb","obp","w.obp"
"51","Todd Frazier",19.2063200424327,NA,NA,NA,NA,NA,4.2746721878207,5.3087300084007,4.55852805919481,3.15410012072238,1.82370242746781,1.91028966629407,NA,NA,NA,NA,NA,75.6666666666667,23.6666666666667,81.3333333333333,11.6666666666667,0.324666666666667,1.91028966629407
"52","Tim Lincecum",9.40769282447329,3.4859966319373,-0.036909560283025,3.94114265580095,0.838417761025068,0.972183007743605,NA,NA,NA,NA,NA,NA,9,0,142,4.12333333333333,1.32666666666667,NA,NA,NA,NA,NA,NA
"53","Tim Hudson",8.51772288076875,3.63164934647182,-0.036909560283025,2.83707874042292,1.29671329071817,1.44615537137914,NA,NA,NA,NA,NA,NA,9.33333333333333,0,106.666666666667,3.74666666666667,1.23666666666667,NA,NA,NA,NA,NA,NA
"54","Tanner Roark",8.8013376638879,3.77730206100633,-0.036909560283025,2.96206710820157,1.63739315349889,1.77969147912267,NA,NA,NA,NA,NA,NA,9.66666666666667,0,110.666666666667,3.46666666666667,1.17333333333333,NA,NA,NA,NA,NA,NA
"55","Taijuan Walker",8.35491304334194,3.19469120286827,-0.036909560283025,3.27453802764818,1.13448478463212,1.16528285959512,NA,NA,NA,NA,NA,NA,8.33333333333333,0,120.666666666667,3.88,1.29,NA,NA,NA,NA,NA,NA
"56","T.J. House",6.94500096066725,2.6120803447302,-0.036909560283025,2.49336072903165,0.866807749590127,0.884410347811098,NA,NA,NA,NA,NA,NA,7,0,95.6666666666667,4.1,1.34333333333333,NA,NA,NA,NA,NA,NA
"57","Steven Souza",17.9886322484189,NA,NA,NA,NA,NA,3.58761824248871,3.97007564949537,3.81994893884125,5.27872711353651,2.11648576747602,1.33226230405708,NA,NA,NA,NA,NA,64.3333333333333,18,69,19,0.337666666666667,1.33226230405708
"58","Steve Pearce",15.0073535036033,NA,NA,NA,NA,NA,3.890730277194,4.60003064192141,4.21918089578912,1.02947312790826,2.4918490238968,1.2679385607905,NA,NA,NA,NA,NA,69.3333333333333,20.6666666666667,75.6666666666667,4.33333333333333,0.354333333333333,1.2679385607905
"59","Steve Cishek",8.96890254078513,1.44685862845406,4.2954334914672,1.82675610087888,2.37958856884259,1.86746413905518,NA,NA,NA,NA,NA,NA,4.33333333333333,37,74.3333333333333,2.85666666666667,1.15666666666667,NA,NA,NA,NA,NA,NA
"60","Stephen Vogt",8.42544787392967,NA,NA,NA,NA,NA,2.37517010366755,2.31644379437703,2.54240667660806,0.353455448376492,1.45584643617544,0.837971850900543,NA,NA,NA,NA,NA,44.3333333333333,11,47.6666666666667,2,0.308333333333333,0.837971850900543
"61","Stephen Strasburg",14.4706600532386,5.81644006448957,-0.036909560283025,6.39924722211429,2.20924863745223,2.25366384275821,NA,NA,NA,NA,NA,NA,14.3333333333333,0,220.666666666667,2.99666666666667,1.08333333333333,NA,NA,NA,NA,NA,NA
"62","Stephen Drew",7.97434267114122,NA,NA,NA,NA,NA,2.3549626346872,2.15895504627052,2.28290590459194,0.643177311032964,1.2906866033503,0.534341774558595,NA,NA,NA,NA,NA,44,10.3333333333333,43.3333333333333,3,0.301,0.534341774558595
"63","Starling Marte",20.9811341927304,NA,NA,NA,NA,NA,3.95135268413506,3.10388753490957,3.91975692807822,9.04511132807064,2.22909474440226,2.00613704560757,NA,NA,NA,NA,NA,70.3333333333333,14.3333333333333,70.6666666666667,32,0.342666666666667,2.00613704560757
"64","Starlin Castro",15.5535892913185,NA,NA,NA,NA,NA,3.91093774617435,3.18263190896283,4.01956491731518,2.28493453275297,1.92880413926563,2.15552018611321,NA,NA,NA,NA,NA,69.6666666666667,14.6666666666667,72.3333333333333,8.66666666666667,0.329333333333333,2.15552018611321
"65","Sonny Gray",12.7200949558407,5.52513463542054,-0.036909560283025,4.98271238728965,1.73878596980267,1.37593724343314,NA,NA,NA,NA,NA,NA,13.6666666666667,0,175.333333333333,3.38333333333333,1.25,NA,NA,NA,NA,NA,NA
"66","Shin-Soo Choo",18.4391424648571,NA,NA,NA,NA,NA,5.56795020256327,3.49760940517585,3.78002574314646,3.15410012072238,2.88973407570283,2.43945699324916,NA,NA,NA,NA,NA,97,16,68.3333333333333,11.6666666666667,0.372,2.43945699324916
"67","Shelby Miller",10.6273705912596,4.06860749007537,-0.036909560283025,4.45151182423041,1.32915899193538,1.32327364747363,NA,NA,NA,NA,NA,NA,10.3333333333333,0,158.333333333333,3.72,1.26,NA,NA,NA,NA,NA,NA
"68","Shane Victorino",9.27401074156816,NA,NA,NA,NA,NA,2.13268047590332,1.60774442789774,2.18309791535497,2.76780430384709,1.6735571248995,0.582683618565041,NA,NA,NA,NA,NA,40.3333333333333,8,41.6666666666667,10.3333333333333,0.318,0.582683618565041
"69","Shane Greene",8.26136549442886,3.19469120286827,-0.036909560283025,3.19121244912908,0.668077829634709,0.831746751851594,NA,NA,NA,NA,NA,NA,8.33333333333333,0,118,4.26333333333333,1.35333333333333,NA,NA,NA,NA,NA,NA
"70","Seth Smith",9.5671053866548,NA,NA,NA,NA,NA,2.7793194832746,2.31644379437703,2.88175384001375,0.353455448376492,2.22158747927384,1.23613282061293,NA,NA,NA,NA,NA,51,11,53.3333333333333,2,0.342333333333333,1.23613282061293
"71","Seth Maness",3.80879259274247,1.44685862845406,0.0216356160919781,0.983084618373031,1.91723732649733,1.74458241514967,NA,NA,NA,NA,NA,NA,4.33333333333333,0.5,47.3333333333333,3.23666666666667,1.18,NA,NA,NA,NA,NA,NA
"72","Sergio Romo",5.24791276101589,1.59251134298858,0.841268085342021,1.46220669485783,2.29847431579956,2.34143650269072,NA,NA,NA,NA,NA,NA,4.66666666666667,7.5,62.6666666666667,2.92333333333333,1.06666666666667,NA,NA,NA,NA,NA,NA
"73","Sean Rodriguez",3.79706067187145,NA,NA,NA,NA,NA,1.14251449586604,1.13527818357821,1.22494121868008,0.54660335681414,1.10300497513991,-0.252276583067019,NA,NA,NA,NA,NA,24,6,25.6666666666667,2.66666666666667,0.292666666666667,-0.252276583067019
"74","Sean Doolittle",7.1536268567434,1.00990048485051,2.89034925846713,1.78509331161933,2.80949410997063,2.88562699427226,NA,NA,NA,NA,NA,NA,3.33333333333333,25,73,2.50333333333333,0.963333333333333,NA,NA,NA,NA,NA,NA
"75","Scott Van Slyke",7.33839323615775,NA,NA,NA,NA,NA,2.03164313100156,2.08021067221726,2.20305951320236,0.54660335681414,2.48434175876839,0.476876562922426,NA,NA,NA,NA,NA,38.6666666666667,10,42,2.66666666666667,0.354,0.476876562922426
"76","Scott Kazmir",10.3192456848045,4.3599129191444,-0.036909560283025,3.88906416922651,1.38999468171765,1.42860083939264,NA,NA,NA,NA,NA,NA,11,0,140.333333333333,3.67,1.24,NA,NA,NA,NA,NA,NA
"77","Scott Feldman",8.27038251117035,3.34034391740278,-0.036909560283025,2.94123571357179,0.509905036200806,0.866855815824596,NA,NA,NA,NA,NA,NA,8.66666666666667,0,110,4.39333333333333,1.34666666666667,NA,NA,NA,NA,NA,NA
"78","Scooter Gennett",11.7003994772965,NA,NA,NA,NA,NA,3.20367633186201,2.08021067221726,3.06140822064029,1.70549080744003,1.628513534129,1.64961344513689,NA,NA,NA,NA,NA,58,10,56.3333333333333,6.66666666666667,0.316,1.64961344513689
"79","Santiago Casilla",6.8995689628328,1.30120591391954,3.41725584584215,1.04557880226235,2.14030152236566,1.56903709528465,NA,NA,NA,NA,NA,NA,4,29.5,49.3333333333333,3.05333333333333,1.21333333333333,NA,NA,NA,NA,NA,NA
"80","Sam Fuld",9.95609193182021,NA,NA,NA,NA,NA,2.21351035182473,0.426578817098919,1.88367394764407,4.79585734244239,1.59848447361534,0.636471472810107,NA,NA,NA,NA,NA,41.6666666666667,3,36.6666666666667,17.3333333333333,0.314666666666667,0.636471472810107
"81","Salvador Perez",11.743272320901,NA,NA,NA,NA,NA,3.26429873880307,3.41886503112259,3.58040976467253,0.0637335857200205,1.51590455720277,1.41596520058277,NA,NA,NA,NA,NA,59,15.6666666666667,65,1,0.311,1.41596520058277
"82","Ryan Zimmerman",14.3091377005953,NA,NA,NA,NA,NA,3.890730277194,4.04882002354863,4.2990272871787,0.450029402595316,2.33419645620008,1.62053071007863,NA,NA,NA,NA,NA,69.3333333333333,18.3333333333333,77,2.33333333333333,0.347333333333333,1.62053071007863
"83","Ryan Vogelsong",6.3207764932918,2.32077491566116,-0.036909560283025,2.26421538810414,0.883030600198732,1.09506473164911,NA,NA,NA,NA,NA,NA,6.33333333333333,0,88.3333333333333,4.08666666666667,1.30333333333333,NA,NA,NA,NA,NA,NA
"84","Ryan Rua",9.55364841980389,NA,NA,NA,NA,NA,2.45599997958896,2.47393254248354,2.68213786153981,0.932899173689435,1.48587549668911,1.00867886250215,NA,NA,NA,NA,NA,45.6666666666667,11.6666666666667,50,4,0.309666666666667,1.00867886250215
"85","Ryan Howard",11.0845531597675,NA,NA,NA,NA,NA,2.88035682817637,4.04882002354863,3.26102419911423,-0.129414322717627,1.50089002694594,1.02376643164595,NA,NA,NA,NA,NA,52.6666666666667,18.3333333333333,59.6666666666667,0.333333333333333,0.310333333333333,1.02376643164595
"86","Ryan Hanigan",1.97319555400354,NA,NA,NA,NA,NA,1.00106221300357,0.426578817098919,0.885594055274386,-0.129414322717627,1.73361524592682,-0.210625208655705,NA,NA,NA,NA,NA,21.6666666666667,3,20,0.333333333333333,0.320666666666667,-0.210625208655705
"87","Ryan Goins",0.652952981628713,NA,NA,NA,NA,NA,0.455460550534051,-0.0458874272206081,0.386554109089545,0.0637335857200205,0.32224940178468,-0.206907836494295,NA,NA,NA,NA,NA,12.6666666666667,1,11.6666666666667,1,0.258,-0.206907836494295
"88","Ryan Flaherty",3.83412634629323,NA,NA,NA,NA,NA,1.28396677872851,1.13527818357821,1.24490281652747,0.450029402595316,1.08799044488308,-0.28005083513628,NA,NA,NA,NA,NA,26.3333333333333,6,26,2.33333333333333,0.292,-0.28005083513628
"89","Ryan Braun",20.0459789836493,NA,NA,NA,NA,NA,4.61819916048669,5.22998563434745,4.71822084197396,3.25067407494121,2.43929816799789,2.2288992719,NA,NA,NA,NA,NA,81.3333333333333,23.3333333333333,84,12,0.352,2.2288992719
"90","Russell Martin",11.8327487921016,NA,NA,NA,NA,NA,3.06222404899954,3.02514316085632,3.32090899265641,1.02947312790826,2.34921098645691,1.39499946168104,NA,NA,NA,NA,NA,55.6666666666667,14,60.6666666666667,4.33333333333333,0.348,1.39499946168104
"91","Rusney Castillo",18.47785954716,NA,NA,NA,NA,NA,3.48658089758695,3.41886503112259,3.72014094960428,6.24446665572475,2.01889132080662,1.60780601312139,NA,NA,NA,NA,NA,62.6666666666667,15.6666666666667,67.3333333333333,22.3333333333333,0.333333333333333,1.60780601312139
"92","Ruben Tejada",2.81712537535557,NA,NA,NA,NA,NA,1.02126968198392,0.190345694939156,0.945478848816567,0.353455448376492,1.83120969259623,0.306575701239427,NA,NA,NA,NA,NA,22,2,21,2,0.325,0.306575701239427
"93","Rougned Odor",14.8183148152715,NA,NA,NA,NA,NA,3.26429873880307,2.63142129059005,3.40075538404598,4.0232657086918,1.54593361771643,1.49857369314059,NA,NA,NA,NA,NA,59,12.3333333333333,62,14.6666666666667,0.312333333333333,1.49857369314059
"94","Roenis Elias",6.41784344884552,2.46642763019568,-0.036909560283025,2.30587817736368,0.968200565893911,0.954628475757103,NA,NA,NA,NA,NA,NA,6.66666666666667,0,89.6666666666667,4.01666666666667,1.33,NA,NA,NA,NA,NA,NA
"95","Robinson Chirinos",6.6840452031961,NA,NA,NA,NA,NA,2.09226553794261,2.08021067221726,2.14317471966018,-0.0328403684988034,1.12552677052515,0.401234641874843,NA,NA,NA,NA,NA,39.6666666666667,10,41,0.666666666666667,0.293666666666667,0.401234641874843
"96","Robinson Cano",18.1810469431472,NA,NA,NA,NA,NA,4.84048131927057,4.12756439760188,4.8978752226005,1.51234289900238,2.93477766647333,2.80278310467182,NA,NA,NA,NA,NA,85,18.6666666666667,87,6,0.374,2.80278310467182
"97","Robbie Grossman",6.93087906271773,NA,NA,NA,NA,NA,1.56687134445345,1.13527818357821,1.64413477347534,1.9952126700965,2.07894944183394,0.589382091114233,NA,NA,NA,NA,NA,31,6,32.6666666666667,7.66666666666667,0.336,0.589382091114233
"98","Robbie Erlin",4.24609501828208,1.44685862845406,-0.036909560283025,1.44137530022806,1.02903625567618,1.27061005151413,NA,NA,NA,NA,NA,NA,4.33333333333333,0,62,3.96666666666667,1.27,NA,NA,NA,NA,NA,NA
"99","Rob Refsnyder",4.34592774893391,NA,NA,NA,NA,NA,1.34458918566957,0.584067565205428,1.22494121868008,1.02947312790826,1.93631140439405,0.162856651470575,NA,NA,NA,NA,NA,27.3333333333333,3.66666666666667,25.6666666666667,4.33333333333333,0.329666666666667,0.162856651470575
"100","Ricky Nolasco",8.5968335777973,3.34034391740278,-0.036909560283025,3.28495372496307,0.307119403593237,0.954628475757103,NA,NA,NA,NA,NA,NA,8.66666666666667,0,121,4.56,1.33,NA,NA,NA,NA,NA,NA
"101","Rick Porcello",11.4963343170791,5.52513463542054,-0.036909560283025,3.80573859070742,1.33321470458753,1.30571911548713,NA,NA,NA,NA,NA,NA,13.6666666666667,0,137.666666666667,3.71666666666667,1.26333333333333,NA,NA,NA,NA,NA,NA
"102","Rajai Davis",13.7216702499107,NA,NA,NA,NA,NA,1.99122819304085,0.977789435471701,2.00344353472843,8.4656676027577,1.49338276181752,0.749209086669687,NA,NA,NA,NA,NA,38,5.33333333333333,38.6666666666667,30,0.31,0.749209086669687
"103","R.A. Dickey",11.9695019427008,5.23382920635151,-0.036909560283025,4.57650019200906,0.980367703850365,1.23550098754113,NA,NA,NA,NA,NA,NA,13,0,162.333333333333,4.00666666666667,1.27666666666667,NA,NA,NA,NA,NA,NA
"104","Prince Fielder",16.4613348489507,NA,NA,NA,NA,NA,4.3150871257814,4.91500813813443,4.73818243982136,0.160307539938844,2.90474860595967,2.33274960527466,NA,NA,NA,NA,NA,76.3333333333333,22,84.3333333333333,1.33333333333333,0.372666666666667,2.33274960527466
"105","Phil Hughes",12.5050514455074,5.52513463542054,-0.036909560283025,4.7848141383068,1.35754898050044,1.83235507508217,NA,NA,NA,NA,NA,NA,13.6666666666667,0,169,3.69666666666667,1.16333333333333,NA,NA,NA,NA,NA,NA
