"","crashDates","crashLocation","crashOperator","crashType","crashOutcome","crashF","crashP","Prop","crashYear"
"288",1954-02-05,"Susitna Valley, Alaska","Military - U.S. Air Force
","Douglas C-47","10/16(0)",10,16,0.62,"1954"
"289",1954-02-12,"Gozo, Malta","Military - Royal Air Force
","Avro Shackleton MR-2","10/10(0)",10,10,1,"1954"
"290",1954-02-25,"New Delhi, India","Indian Airlines
","Douglas DC-3","3/3(0)",3,3,1,"1954"
"291",1954-02-26,"Wright, Wyoming","Western Airlines
","Convair CV-240","9/9(0)",9,9,1,"1954"
"292",1954-03-04,"St. Etienne de Tinee, France","Military - U.S. Air Force
","Douglas C-47A-DL","20/20(0)",20,20,1,"1954"
"293",1954-03-13,"Kallang Airport, Singapore","British Overseas Airways
","Lockheed 749A-79-33 Constellation","33/40(0)",33,40,0.82,"1954"
"294",1954-03-13,"Dien Bien Phu, South Vietnam","Aigle Azur
","C-46","?/?(?)",NA,NA,NA,"1954"
"295",1954-03-14,"Mackay, Australia","Queensland Airlines
","Douglas C-47A","2/2(0)",2,2,1,"1954"
"296",1954-03-19,"Lothian, Maryland","Military - U.S. Air Force
","Fairchild C-110F","18/18(0)",18,18,1,"1954"
"297",1954-03-26,"Monterrey, Mexico","Aeronaves de Mexico
","Douglas DC-3","18/18(0)",18,18,1,"1954"
"298",1954-04-03,"Kabassaak, Turkey","Devlet Hava Yollari
","Douglas DC-3","25/25(0)",25,25,1,"1954"
"299",1954-04-04,"Hanoi, Vietnam","Autrex
","Douglas C-54A","4/4(0)",4,4,1,"1954"
"300",1954-04-08,"Stromboli, Italy","South African Airways, leased from British Overseas Airways
","de Havilland DH106 Comet 1","21/21(0)",21,21,1,"1954"
"301",1954-04-08,"Moose Jaw, SK, Canada","Trans Canada Air Lines / RCAF
","Canadair C-4-1Argonaut / Harvard Mark II","36/36(1)",36,36,1,"1954"
"302",1954-04-13,"Batuco, Chile","LAN
","Douglas DC-3","14/14(0)",14,14,1,"1954"
"303",1954-04-13,"Xieng Kouang, Laos","Societe Indochinoise de Raviteillement
","Lockheed 18 Lodestar","16/23(0)",16,23,0.7,"1954"
"304",1954-04-23,"Sierra del Vilgo, Argentina","Aerolineas Argentinas
","Douglas DC-3","25/25(0)",25,25,1,"1954"
"305",1954-04-30,"Calcutta, India","Darbhanga Aviation
","Douglas C-47A-30-DK","5/11(0)",5,11,0.45,"1954"
"306",1954-05-22,"Paraparaumu, New Zealand","New Zealand National Airways
","Douglas DC-3","3/28(0)",3,28,0.11,"1954"
"307",1954-05-31,"Cipo Mountain, Brazil","Transportes Aereos Nacionales
","Douglas DC-3","19/19(0)",19,19,1,"1954"
"308",1954-06-03,"Maribor, Slovenia","Sabena
","Douglas C-47A","1/4(0)",1,4,0.25,"1954"
"309",1954-06-04,"Sao Paulo, Brazil","Varig
","Curtiss C-46A","3/3(0)",3,3,1,"1954"
"310",1954-06-08,"Da Nang, Vietnam","Soc. de Tr. Aériens d'Extrême Orient
","Douglas C-47-DL","4/4(0)",4,4,1,"1954"
"311",1954-06-19,"Folkestone, England","Swissair
","Convair CV-240-4","3/9(0)",3,9,0.33,"1954"
"312",1954-07-02,"Salvador, Brazil","Military - Brazilian Air Force
","Lockheed C-28","24/24(0)",24,24,1,"1954"
"313",1954-07-23,"Hainan Island, China","Cathay Pacific Airways
","Douglas DC-4","10/18(0)",10,18,0.56,"1954"
"314",1954-08-08,"McGrath, Alaska","Alaska Airlines
","Douglas DC-2","2/2(0)",2,2,1,"1954"
"315",1954-08-09,"Terceira Island, Azores, Portugal","AVIANCA
","Lockheed 749A-79 Constellation","30/30(0)",30,30,1,"1954"
"316",1954-08-12,"Vietnam","Autrex
","Douglas DC-3","3/3(0)",3,3,1,"1954"
"317",1954-08-16,"Pakse, Laos","Air Vietnam (South Vietnam)
","Bristol 170 Freighter 21E","47/55(0)",47,55,0.85,"1954"
"318",1954-08-22,"Mason City, Iowa","Braniff Airlines
","Douglas DC-3","12/19(0)",12,19,0.63,"1954"
"319",1954-08-23,"IJuuiden, North Sea","KLM Royal Dutch Airlines
","Douglas DC-6B","21/21(0)",21,21,1,"1954"
"320",1954-08-26,"Sakhalin Oblast, Russia","Aeroflot
","Li-2","26/27(1)",26,27,0.96,"1954"
"321",1954-08-27,"Rapid City, South Dekota","Military - U.S. Air Force
","Convair RB-36H","26/27(0)",26,27,0.96,"1954"
"322",1954-09-05,"Foynes, Ireland","KLM Royal Dutch Airlines
","Lockheed 1049C-55-81 S Constellation","28/56(0)",28,56,0.5,"1954"
"323",1954-09-12,"Rio de Janeiro, Brazil","Cruzeiro
","Douglas DC-3","7/26(0)",7,26,0.27,"1954"
"324",1954-09-15,"Cairo, Egypt","Misrair
","Vickers 634 Viking","3/4(0)",3,4,0.75,"1954"
"325",1954-09-27," Novosibirsk, Russia","Aeroflot
","Ilyushin IL-12","29/29(0)",29,29,1,"1954"
"326",1954-10-24,"Nice, Italy","Military - U.S. Air Force
","Douglas C-47A-DL","21/21(0)",21,21,1,"1954"
"327",1954-10-28," Krasnoyarsk Territory, Russia","Aeroflot
","Ilyushin IL -12","16/16(0)",16,16,1,"1954"
