"","crashDates","crashLocation","crashOperator","crashType","crashOutcome","crashF","crashP","Prop","crashYear"
"1230",1968-01-06,"Olekminsk, Russia","Aeroflot
","Antonov An-24B","45/46(0)",45,46,0.98,"1968"
"1231",1968-01-08,"Quang Tri, South Vietnam","Military - U.S. Marine Corps
","Sikorsky CH-53A (helicopter)","42/42(0)",42,42,1,"1968"
"1232",1968-01-08,"Tanana, Alaska","Tanana Air Taxi
","Cessna 180H","2/5(0)",2,5,0.4,"1968"
"1233",1968-01-08,"San Diego, California","Imperial Comm - Air Taxi
","Beechcraft E18S","3/4(0)",3,4,0.75,"1968"
"1234",1968-01-10,"Copper Canyon, Nevada","Military - U.S. Marine Corps
","Douglas C-54P","19/19(0)",19,19,1,"1968"
"1235",1968-01-13,"Minot AFB, North Dakota","Military - US Air Force
","KC-135","13/13(0)",13,13,1,"1968"
"1236",1968-01-15,"Zifta, Egypt","United Arab Airlines
","Douglas DC-3","4/4(0)",4,4,1,"1968"
"1237",1968-01-16,"Iwakuni, Japan","Mililtary - U.S. Navy
","Lockheed P-3A","12/12(0)",12,12,1,"1968"
"1238",1968-01-17,"Minot AFB, North Dakota","Military - U.S. Air Force
","Boeing KC-135A","13/13(0)",13,13,1,"1968"
"1239",1968-01-27,"Moroni, Comoro Islands","Air Comores
","de Havilland DH-114 Heron 1B","15/16(0)",15,16,0.94,"1968"
"1240",1968-02-06,"Phu Quoc, Vietnam","Military - U.S. Navy
","Lockheed P-3B Orion","12/12(0)",12,12,1,"1968"
"1241",1968-02-07,"Vancouver, Canada","Canadian Pacific Air Lines
","Boeing B-707-138B","1/61(1)",1,61,0.02,"1968"
"1242",1968-02-07,"Rohtang Pass, Northern India","Military - Indian Air Force
","Antonov AN-12BP","98/98(0)",98,98,1,"1968"
"1243",1968-02-16,"Linkuo, Taiwan","Civil Air Transport
","Boeing B-727-92C","21/63(1)",21,63,0.33,"1968"
"1244",1968-02-21,"Eureka, Utah","Havasu City Air - Air Taxi
","Cessna 210","3/3(0)",3,3,1,"1968"
"1245",1968-02-24,"Ban Napa, Laos","Royal Air Lao
","Douglas DC-3","37/37(0)",37,37,1,"1968"
"1246",1968-02-29,"Bratsk, Russia","Aeroflot
","Ilyushin IL-18D","83/84(0)",83,84,0.99,"1968"
"1247",1968-02-29,"Bratsk, Russia","Aeroflot
","Ilyushin IL-18D","82/82(0)",82,82,1,"1968"
"1248",1968-03-05,"Khe Sanh, South Vietnam","Military - U.S. Air Force
","Fairchild C-123K","49/49(0)",49,49,1,"1968"
"1249",1968-03-06,"Basse-Terre, Guadeloupe, West Indies","Air France
","Boeing B-707-328C","63/63(0)",63,63,1,"1968"
"1250",1968-03-08,"Panay Island, Philippines","Air Manila
","Fairchild F-27","14/14(0)",14,14,1,"1968"
"1251",1968-03-09,"Saint Denis, Reunion","Military - French Air Force
","Douglas DC6B","19/20(0)",19,20,0.95,"1968"
"1252",1968-03-19,"Potters Cove, Rhode Island","Viking Airways - Air Taxi
","Cessna 182","2/2(0)",2,2,1,"1968"
"1253",1968-03-23,"St. Louis, Missouri","Fortaire Aviation - Air Taxi
","Brantly 305","3/5(0)",3,5,0.6,"1968"
"1254",1968-03-24,"Wexford Harbor, Ireland","Aer Lingus
","Vickers Viscount 803","61/61(0)",61,61,1,"1968"
"1255",1968-03-27,"St. Louis, Missouri","Ozark Air Lines / Private
","McDonnell Douglas DC-9 and Cessna 150F","2/51(0)",2,51,0.04,"1968"
"1256",1968-03-27,"Moscow, Russia","Military - Russian Air Force
","MiG-15 UTI","2/2(0)",2,2,1,"1968"
"1257",1968-04-01,"Phu Quoc, Vietnam","Military - U.S. Navy
","Lockheed P-3B Orion","12/12(0)",12,12,1,"1968"
"1258",1968-04-08,"Heathrow Airport, London, England","British Overseas Airways
","Boeing B-707-465","5/127(0)",5,127,0.04,"1968"
"1259",1968-04-08,"Coyhaique, Chile","Ladeco
","Douglas DC-3","36/36(0)",36,36,1,"1968"
"1260",1968-04-10,"Dahlonega, Georgia","Canair Corp. - Air Taxi
","Cessna 182","4/4(0)",4,4,1,"1968"
"1261",1968-04-10," Mexico City, Mexico","Aerovias Rojas
","Douglas DC-3","18/18(0)",18,18,1,"1968"
"1262",1968-04-19,"Cheo Reo, South Vietnam","Military - U.S. Army / Military - U.S. Army
","Bell UH-1H / Bell UH-1H (helicopter)","26/26(0)",26,26,1,"1968"
"1263",1968-04-19,"Mull of Kintyre, England","Military - Royal Air Force
","Avro Shackleton MR-2","11/11(0)",11,11,1,"1968"
"1264",1968-04-20,"Windhoek, South-West  Africa (Namibia)","South African Airways
","Boeing B-707-344C","123/128(0)",123,128,0.96,"1968"
"1265",1968-04-22,"Moscow, Russia","Aeroflot
","Ilyushin IL-18V","5/5(0)",5,5,1,"1968"
"1266",1968-04-27,"Carpenteria, California","Utility Helocopter - Air Taxi
","Bell 206A","5/5(0)",5,5,1,"1968"
"1267",1968-04-30,"Chaklala, West Pakistan","Military - Pakistan Air Force
","Lockheed Martin L-100-10","22/22(0)",22,22,1,"1968"
"1268",1968-05-03,"Dawson, Texas","Braniff Airlines
","Lockheed L188A Electra","85/85(0)",85,85,1,"1968"
"1269",1968-05-07,"Got el Afraq, Libya","Military - Royal Air Force
","Armstrong Whitworth Argosy C-1","11/11(0)",11,11,1,"1968"
"1270",1968-05-12,"Kham Duc, Vietnam","Military - U.S. Air Force
","Lockheed C-130B Hercules","155/155(0)",155,155,1,"1968"
"1271",1968-05-14,"Pelliston, Michigan","Phillips Flying Service - Air Taxi
","Piper PA-23","4/4(0)",4,4,1,"1968"
"1272",1968-05-22,"Paramount, California","Los Angeles Airways
","Sikorsky S-61L helicopter","23/23(0)",23,23,1,"1968"
"1273",1968-05-28,"Bombay, India","Garuda Indonesia Airlines
","Convair CV-990-30A-5","29/29(1)",29,29,1,"1968"
"1274",1968-06-01,"Vidalia, Georgia","Houston-Beech - Air Taxi
","Cessna 411","3/4(0)",3,4,0.75,"1968"
"1275",1968-06-12,"Calcutta, India","Pan American World Airways
","Boeing B-707-321C","6/63(0)",6,63,0.1,"1968"
"1276",1968-06-18,"San Sebastian, Spain","Rinaldo Piaggio
","Piaggio PD-808","6/6(0)",6,6,1,"1968"
"1277",1968-06-25,"Bearcat, South Vietnam","Military - U.S. Army
","Bell UH-1H / Bell UH-1H / Bell UH-1H","29/29(0)",29,29,1,"1968"
"1278",1968-06-28,"Vichy, Missouri","Purdue Airlines Inc.
","Douglas DC-3 (C-47-DL)","1/27(0)",1,27,0.04,"1968"
"1279",1968-07-03,"London, England","BKS Air Transport
","Airspeed AS.57 Ambassador 2","6/8(0)",6,8,0.75,"1968"
"1280",1968-07-07,"Ft. Lauderdale, Florida","Red Aircraft Service - Air Taxi
","Piper PA-23","4/4(0)",4,4,1,"1968"
"1281",1968-07-08,"Dhahran, Saudi Arabia","Saudi Arabian Airlines
","Convair CV-340-68B","11/11(0)",11,11,1,"1968"
"1282",1968-07-13,"Lagos, Nigeria","Sabena
","Boeing 707-329C","7/7(0)",7,7,1,"1968"
"1283",1968-07-15,"Gravata, Brazil","Varig
","Curtiss C-46C","3/3(0)",3,3,1,"1968"
"1284",1968-07-18,"Chili","Aerolineas Flecha Austral
","Curtiss C-46D","5/5(0)",5,5,1,"1968"
"1285",1968-07-28,"Recife Brazil","Military - U.S. Air Force
","Douglas C-124C","10/10(0)",10,10,1,"1968"
"1286",1968-08-01,"Jamestown, Rhode Island","Mid Island Air - Air Taxi
","Cessna 182H","3/3(0)",3,3,1,"1968"
"1287",1968-08-02,"Milan, Italy","Alitalia
","McDonnell Douglas DC-8","13/95(0)",13,95,0.14,"1968"
"1288",1968-08-04,"Milwaukee, Wisconsin","North Central Airlines / Private
","Convair CV-580 / Cessna 150","3/15(0)",3,15,0.2,"1968"
"1289",1968-08-09,"Pfaffenhofen, Germany","British Eagle International Airlines
","Vickers Viscount 739A","48/48(0)",48,48,1,"1968"
"1290",1968-08-10,"Charleston, West Virginia","Piedmont Airlines
","Fairchild-Hiller FH-227B","35/37(0)",35,37,0.95,"1968"
"1291",1968-08-14,"Compton, California","Los Angeles Airways
","Sikorsky S-61L helicopter","21/21(0)",21,21,1,"1968"
"1292",1968-08-18,"Port Said, Egypt","United Arab Airlines
","Antonov AN-24V","40/40(0)",40,40,1,"1968"
"1293",1968-08-20,"Maturin, Venezuela","Linea Aeropostal Venezolana
","Hawker Siddeley HS-748-215-2","4/7(0)",4,7,0.57,"1968"
"1294",1968-08-28,"Lopez, Washington","Island Sky Ferry - Air Taxi
","Cessna 172","0/2(0)",0,2,0,"1968"
"1295",1968-08-31,"Odda, Norway","Westwing
","de Havilland Canada DHC-3 Otter","5/6(0)",5,6,0.83,"1968"
"1296",1968-09-03,"Burgas, Bulgaria","Bulair TABSO
","Ilyushin IL-18","47/89(0)",47,89,0.53,"1968"
"1297",1968-09-08,"Flushing, New York","Far Aviation - Air Taxi / Speeds Flying - Air Taxi
","Cessna 402 / Piper PA-28","2/9(0)",2,9,0.22,"1968"
"1298",1968-09-11,"Cap d'Antibes, France","Air France
","Sud-Aviation Caravelle 3","95/95(0)",95,95,1,"1968"
"1299",1968-09-24,"Wake Island","Military - U.S. Air Force
","Boeing KC-135A","11/52(0)",11,52,0.21,"1968"
"1300",1968-09-28,"Port Harcourt, Biafra, Nigeria","Pan African Airlines
","Douglas C-54B","57/57(1)",57,57,1,"1968"
"1301",1968-10-01,"Kenai, Alaska","Kenai Air Service - Air Taxi
","Beechcraft D50A","3/3(0)",3,3,1,"1968"
"1302",1968-10-03,"Camp Evans, South Vietnam","Military - U.S. Air Force / Military -  U.S. Army
","de Havilland C-7B / Boeing Vertol CH-47A","25/25(0)",25,25,1,"1968"
"1303",1968-10-08,"Puerto Cortes, Costa Rica","Aerovias del Valle
","Britten-Norman BN-2 Islander","10/10(0)",10,10,1,"1968"
"1304",1968-10-08,"Las Vegas, Nevada","Catalina - Vega - Air Taxi
","de Havilland DH-104","4/4(0)",4,4,1,"1968"
"1305",1968-10-10,"Derry, Pennsylvania","Augusta Aviaiton - Air Taxi
","Piper PA-23","2/3(0)",2,3,0.67,"1968"
"1306",1968-10-11,"Prague, Czechoslovakia","Ceskoslovenske Aerolinie
","Avia 14-40","11/40(0)",11,40,0.28,"1968"
"1307",1968-10-19,"Izmir, Turkey","Military - Turkish Air Force
","Lockheed C-130E Hercules","10/10(0)",10,10,1,"1968"
"1308",1968-10-20,"Feijó, Brazil","Cruzeiro
","Douglas C-47A-25","19/19(0)",19,19,1,"1968"
"1309",1968-10-21,"Ban Me Thuot, South Vietnam","Military - U.S. Air Force
","Douglas C-47D","23/23(0)",23,23,1,"1968"
"1310",1968-10-25,"Hanover, New Hampshire","Northeast Airlines
","Fairchild-Hiller FH227C","32/42(0)",32,42,0.76,"1968"
"1311",1968-11-21,"Barrow, Alaska","Barrow Air Service - Air Taxi
","Aero Commander 680-E","7/8(0)",7,8,0.88,"1968"
"1312",1968-11-22,"San Francisco, California","Japan Air Lines
","McDonnell Douglas DC-8-62","0/107(0)",0,107,0,"1968"
"1313",1968-11-23,"Santa Ana, California","Cable Commuter
","de Havilland Canada DHC-6 Twin Otter 200","9/9(0)",9,9,1,"1968"
"1314",1968-11-25,"Savannakhet, Laos","Air America
","Curtiss C-46D-20-CU","26/28(0)",26,28,0.93,"1968"
"1315",1968-11-26,"Point Baker, Alaska","Stikine Air Service - Air Taxi
","Cessna 185","2/5(0)",2,5,0.4,"1968"
"1316",1968-12-02,"Pedro Bay, Alaska","Wien Consolidated Airlines
","Fairchild F-27B","39/39(0)",39,39,1,"1968"
"1317",1968-12-06,"St. Thomas, Virgin Islands","Conquest Airways - Air Taxi
","Beechcraft E18S","3/11(0)",3,11,0.27,"1968"
"1318",1968-12-08,"Wolf Creek, Montana","Northwest Moon - Air Taxi
","Aero Commander 560-F","3/3(0)",3,3,1,"1968"
"1319",1968-12-12,"Caracas, Venezuela","Pan American World Airways
","Boeing B-707-321B","51/51(0)",51,51,1,"1968"
"1320",1968-12-24,"Bradford, Pennsylvania","Allegheny Airlines
","Convair CV-580","20/47(0)",20,47,0.43,"1968"
"1321",1968-12-24,"Prudhoe Bay, Alaska","Interior Airways
","Lockheed L-100 Hercules","2/4(0)",2,4,0.5,"1968"
"1322",1968-12-26,"Ensenada, Mexico","Exportada De Sal S.A.
","Douglas DC-3","12/12(0)",12,12,1,"1968"
"1323",1968-12-26,"Elmendorf Air Force Base, Alaska","Pan American World Airways
","Boeing 707-321CF","3/3(0)",3,3,1,"1968"
"1324",1968-12-27,"Chicago, Illinois","North Central Airlines
","Convair CV-580","27/45(1)",27,45,0.6,"1968"
"1325",1968-12-31,"Ciudad Victoria, Mexico","Servicios Aéreos Especiales
","Douglas DC-3","26/26(0)",26,26,1,"1968"
"1326",1968-12-31,"Port Hedland, WA, Australia","MacRobertson Miller Airlines
","Vickers Viscount 720","26/26(0)",26,26,1,"1968"
"1327",1969-01-02,"Tyonek, Alaska","ERA Helicopter
","Bell 205A","2/2(0)",2,2,1,"1969"
"1328",1969-01-02,"Mt. Paku, Taiwan","China Airlines (Taiwan)
","Douglas DC-3D","24/24(0)",24,24,1,"1969"
"1329",1969-01-05,"Gatwick Airport, Horley, Surrey,  England","Ariana Afghan Airlines
","Boeing B-727-113C","48/62(2)",48,62,0.77,"1969"
"1330",1969-01-06,"Bradford, Pennsylvania","Allegheny Airlines
","Convair CV-580","11/28(0)",11,28,0.39,"1969"
"1331",1969-01-06,"Mt. Tawu, Thailand","China Air Lines
","Douglas DC-3","24/24(0)",24,24,1,"1969"
"1332",1969-01-13,"Shemya, Alaska","Military - US Air Force
","Boeing RC 135S","18/18(?)",18,18,1,"1969"
"1333",1969-01-13,"Los Angeles, California","Scandinavian Airlines (SAS)
","McDonnell Douglas DC-8-62","15/45(0)",15,45,0.33,"1969"
"1334",1969-01-16,"Hue, Vietnam","Air America
","?","12/12(0)",12,12,1,"1969"
"1335",1969-01-18,"Los Angeles, California","United Air Lines
","Boeing B-727-22QC","38/38(0)",38,38,1,"1969"
"1336",1969-02-04," Taiwan","Military - U.S. Air Force
","Lockheed HC-130H Hercules","13/13(0)",13,13,1,"1969"
"1337",1969-02-05,"Port Angeles, Washington","Puget Sound Air - Air Taxi
","Beechcraft C-45H","10/10(0)",10,10,1,"1969"
"1338",1969-02-05,"Batan Islands, Philippines","Military - U.S. Air Force
","Lockheed C-130H","13/14(0)",13,14,0.93,"1969"
"1339",1969-02-18,"Lone Pine, California","Mineral County Airlines
","Douglas DC-3","35/35(0)",35,35,1,"1969"
"1340",1969-02-24,"Tainan, Taiwan","Far Eastern Air Transport
","Handley Page Dart Herald 201","36/36(0)",36,36,1,"1969"
"1341",1969-03-05,"San Juan, Puerto Rico","Prinair
","de Havilland DH-114 Heron 2D","19/19(0)",19,19,1,"1969"
"1342",1969-03-08,"Ching Chuan Kang AB, Taiwan","Military - U.S. Air Force
","Lockheed C-130E Hercules","12/12(0)",12,12,1,"1969"
"1343",1969-03-08,"Atlantic Ocean","Continental Air Transport
","Douglas DC-4","3/3(0)",3,3,1,"1969"
"1344",1969-03-13,"Minchumina, Alaska","Wien Consolidated Airlines
","de Havilland DHC-6","1/5(0)",1,5,0.2,"1969"
"1345",1969-03-16,"Maracaibo, Zulia, Venezuela","Venezolana Internacional de Aviacion
","McDonnell Douglas DC-9-32","84/84(71)",84,84,1,"1969"
"1346",1969-03-19,"Kansas City, Kansas","Leamon Flying Service
","Bell 47G2A1 / Cessna 150H","3/3(0)",3,3,1,"1969"
"1347",1969-03-20,"New Orleans, Louisiana","Avion Airways
","Douglas DC-3","16/27(0)",16,27,0.59,"1969"
"1348",1969-03-20,"Aswan, Egypt","United Arab Airlines
","Ilyushin IL-18D","100/105(0)",100,105,0.95,"1969"
"1349",1969-04-02,"New Providence Island, Bahamas","Islands of the Bahamas Inc
","Curtiss C-46F","2/2(0)",2,2,1,"1969"
"1350",1969-04-02,"Zawoja, Poland","LOT Polish Airlines
","Antonov AN-24V","53/53(0)",53,53,1,"1969"
"1351",1969-04-02,"Quang Tri, South Vietnam","Military - U.S. Army
","Boeing Vertol CH47C (helicopter)","24/78(0)",24,78,0.31,"1969"
"1352",1969-04-07,"Sept-Îles, Quebec, Canada","Air Canada
","Vickers 757 Viscount","1/21(0)",1,21,0.05,"1969"
"1353",1969-04-15,"Chongjin, North Korea","Military - U.S. Navy
","Lockheed EC-121M","31/31(0)",31,31,1,"1969"
"1354",1969-04-16,"Kinshasa, Zaire","Wigmo
","Curtiss C-46","45/45(0)",45,45,1,"1969"
"1355",1969-04-19,"Craig, Alaska","Simpson Air Service - Air Taxi
","de Havilland DHC-2","9/9(0)",9,9,1,"1969"
"1356",1969-04-21,"Khulna, East Pakistan","Indian Airlines
","Fokker F-27 Friendship 100","44/44(0)",44,44,1,"1969"
"1357",1969-04-24,"Takoradi, Ghana","Ghana Airways
","Douglas DC-3","1/33(0)",1,33,0.03,"1969"
"1358",1969-04-25,"Nakhon Ratchasima , Thailand","Military - U.S. Air Force
","Lockheed EC121R","18/18(0)",18,18,1,"1969"
"1359",1969-05-05,"Las Higueras, Argentina","Argentina CAA
","Douglas DC-3","11/11(0)",11,11,1,"1969"
"1360",1969-05-05,"Rio Cuarto, Argentina","Military - Argentine Air Force
","Douglas C-47A","11/11(0)",11,11,1,"1969"
"1361",1969-05-06,"Chon Thanh, South Vietnam","Military - U.S. Army
","Boeing Vertol CH47A (helicopter)","30/74(0)",30,74,0.41,"1969"
"1362",1969-05-07,"Medford, New Jersey","Flying W Airways
","Curtiss C-46F","2/2(0)",2,2,1,"1969"
"1363",1969-05-23,"Lashio, Burma","Union of Burma Airways
","Douglas C-47","6/6(0)",6,6,1,"1969"
"1364",1969-05-25,"Reggio di Calabria, Italy","Aero Transporti Italiani
","Fokker F-27 Friendship 600","1/36(0)",1,36,0.03,"1969"
"1365",1969-06-04,"Salinas Victoria, Nuevo Leon, Mexico","Compania Mexicana de Aviacion
","Boeing B-727-64","79/79(0)",79,79,1,"1969"
"1366",1969-06-05,"Andreanof Islands, Alaska","Military - U.S. Air Force
","Boeing RC-135E","19/19(0)",19,19,1,"1969"
"1367",1969-06-05,"North Bend, Oregon","Eureka Aero Inc. - Air Taxi
","Cessna 337C","3/3(0)",3,3,1,"1969"
"1368",1969-06-20,"Pasco, Washington","Cascade Airways
","Beechcraft 99","2/2(0)",2,2,1,"1969"
"1369",1969-06-23,"Poroslitsy, Russia","Aeroflot
","Ilyushin IL-14M / Antonov An-12BP","120/120(0)",120,120,1,"1969"
"1370",1969-06-28," Talas, Kyrgyzstan","Aeroflot
","Ilyushin IL-14","40/40(0)",40,40,1,"1969"
"1371",1969-06-29,"Agra, India","Military - Indian Air Force
","Fairchild C-119","14/14(0)",14,14,1,"1969"
"1372",1969-07-06,"Monroe, Georgia","Air South
","Beechcraft B-99","14/14(0)",14,14,1,"1969"
"1373",1969-07-12,"Hitauda, Nepal","Royal Nepal Airlines
","Douglas DC-3","35/35(0)",35,35,1,"1969"
"1374",1969-07-13,"Barrow, Alaska","Interior Airways - Air Taxi
","Grumman G-44A","2/2(0)",2,2,1,"1969"
"1375",1969-07-15,"New York City, New York","New York Airways
","de Havilland Canada DHC-6 Twin Otter 200","3/14(0)",3,14,0.21,"1969"
"1376",1969-07-24,"Sparrevohn, Alaska","Safeway Airways
","Cessna 320","4/4(0)",4,4,1,"1969"
"1377",1969-07-25,"Kekaha, Hawaii","Trans Isle Air
","De Havilland DH-104 Dove","1/13(0)",1,13,0.08,"1969"
"1378",1969-07-26,"Biskra, Algeria","Air Algerie
","Sud Aviation SE-210 Caravelle 6N","33/37(0)",33,37,0.89,"1969"
"1379",1969-07-26,"Atlantic City, New Jersey","Trans World Airlines
","Boeing 707-331C","5/5(0)",5,5,1,"1969"
"1380",1969-07-30,"Grand Canyon, Arizona","Halvorson - Air Taxi
","Bell 47G3B1","3/3(0)",3,3,1,"1969"
"1381",1969-08-03,"	Preobrazhenka, Ukraine","Aeroflot
","Antonov An-24B","55/55(0)",55,55,1,"1969"
"1382",1969-08-03,"Uli , Nigeria","Canairelief Air
","Lockheed L-1049H Super Constellation","4/4(0)",4,4,1,"1969"
"1383",1969-08-05,"Niagra Falls, Canada","Prior Aviatoin - Air Taxi
","Bell 47G-2","3/3(0)",3,3,1,"1969"
"1384",1969-08-19,"Long Tieng, Laos","Air America
","Pilatus Pc-6C","13/13(0)",13,13,1,"1969"
"1385",1969-08-25,"Sucre, Ecuador","TAO
","Douglas C-47B","1/1(0)",1,1,1,"1969"
"1386",1969-08-26,"Moscow, Russia","Aeroflot
","Ilyushin IL-18","16/102(0)",16,102,0.16,"1969"
"1387",1969-08-31,"Newton, Iowa","Private Charter
","Cessna 172H","3/3(0)",3,3,1,"1969"
"1388",1969-09-01,"Cross Bay, Russia","Aeroflot
","Ilyushin IL-14P","22/27(0)",22,27,0.81,"1969"
"1389",1969-09-02,"Pakse, Laos","Military - Royal Lao Air Force
","Douglas C-47","35/35(0)",35,35,1,"1969"
"1390",1969-09-06,"Korat Air Base, Thailand","Military - U.S. Air Force
","Lockheed EC121R","4/16(4)",4,16,0.25,"1969"
"1391",1969-09-06,"Quito, Ecuador","TAME Ecuador
","Douglas DC-3","1/16(?)",1,16,0.06,"1969"
"1392",1969-09-08,"Medina, Colombia","SATENA
","Douglas DC-3","32/32(0)",32,32,1,"1969"
"1393",1969-09-09,"Fairland, Indiana","Allegheny Airlines / Forth Corporation
","MD Douglas DC-9-31/Piper Cherokee PA-28","83/83(0)",83,83,1,"1969"
"1394",1969-09-12,"Antipolo, Philippines","Philippine Air Lines
","BAC One-Eleven 402AP","45/47(0)",45,47,0.96,"1969"
"1395",1969-09-14,"Londrina-Parana, Brazil","VASP
","Douglas DC-3","20/21(0)",20,21,0.95,"1969"
"1396",1969-09-17,"Campbell River, Canada","Pacific Western Airlines
","Convair CV-640","4/15(0)",4,15,0.27,"1969"
"1397",1969-09-20,"Hoi An, Vietnam","Air Vietnam (South Vietnam)
","Douglas DC-4 / USAF F-4E","74/76(2)",74,76,0.97,"1969"
"1398",1969-09-21,"Mexico City, Mexico","Mexicana
","Boeing B-727-64","27/118(0)",27,118,0.23,"1969"
"1399",1969-09-26,"Uli, Nigeria","Nordchurchaid
","Boeing C-97","5/5(0)",5,5,1,"1969"
"1400",1969-09-26,"La Paz, Bolivia","Lloyd Aereo Boliviano
","Douglas DC-6B","74/74(0)",74,74,1,"1969"
"1401",1969-10-02,"Gulf of Tonkin","Military - U.S. Navy
","Grumman C-2A","26/26(0)",26,26,1,"1969"
"1402",1969-10-03,"Denver, Colorado","Metro Commuter - Air Taxi
","Beechcraft 65-B80","5/5(0)",5,5,1,"1969"
"1403",1969-10-13,"Nizhnevartovsk, Russia","Aeroflot
","Antonov An-24B","24/56(0)",24,56,0.43,"1969"
"1404",1969-11-09,"Timmins, Ontario ,Canada","Austin Airways
","Douglas C-47B","2/4(0)",2,4,0.5,"1969"
"1405",1969-11-12,"Point Alexander, Alaska","Channel Flying Service - Air Taxi
","Cessna 180H","2/2(0)",2,2,1,"1969"
"1406",1969-11-13,"Anderma, Russia","Aeroflot
","Antonov An-12TB","12/12(0)",12,12,1,"1969"
"1407",1969-11-19,"Mt. Pilot Knob, Glens Falls, New York","Mohawk Airlines
","Fairchild-Hiller FH-227B","14/14(0)",14,14,1,"1969"
"1408",1969-11-20,"Ikeja, Nigeria","Nigeria Airways
","BAC VC-10-1101","87/87(0)",87,87,1,"1969"
"1409",1969-12-04,"Caracas, Venezuela","Air France
","Boeing B-707-328B","62/62(0)",62,62,1,"1969"
"1410",1969-12-05,"Nnear Albuquerque, New Mexico","Private
","Lockheed 18-08 Lodestar","9/9(0)",9,9,1,"1969"
"1411",1969-12-06,"Khantanga, Russia","Aeroflot
","Antonov An-12PL","8/8(0)",8,8,1,"1969"
"1412",1969-12-08,"Keratea, Greece","Olympic Airways
","Douglas DC-6B","90/90(0)",90,90,1,"1969"
"1413",1969-12-10,"Passadumkeag, Maine","Aroostook Air - Air Taxi
","Piper PA-23","3/3(0)",3,3,1,"1969"
"1414",1969-12-10,"Makhachkala , Russia","Aeroflot
","Ilyushin 14P","17/17(0)",17,17,1,"1969"
"1415",1969-12-22,"Nha Trang, Vietnam","Air Vietnam (South Vietnam)
","Douglas DC-6B","10/77(24)",10,77,0.13,"1969"
"1416",1969-12-22,"San Diego, California","Military U.S. Navy
","LTVF-8J","0/1(14)",0,1,0,"1969"
"1417",1969-12-23,"Luang Prabang, Laos","Laos Air
","Douglas C-47A-25-DK","6/6(0)",6,6,1,"1969"
"1418",1970-01-01,"Nulato, Alaska","Galena Air Service - Air Taxi
","Cessna 180","2/4(0)",2,4,0.5,"1970"
"1419",1970-01-05,"Stockholm, Sweden","Spantax
","Convair CV-990-30A-5","5/10(0)",5,10,0.5,"1970"
"1420",1970-01-12,"Villia Greece","Military - Royal Hellenic Air Force
","Douglas C-47","23/27(0)",23,27,0.85,"1970"
"1421",1970-01-13,"Faleolo, Western Samoa","Polynesian Airlines
","Douglas DC-3","32/32(0)",32,32,1,"1970"
"1422",1970-01-14,"Mt. Pumacona, Peru","Faucett
","Douglas DC-4","28/28(0)",28,28,1,"1970"
"1423",1970-01-24,"Portage, Michigan","Buckeye Air Service - Air Taxi
","Beechcraft TC-45J","2/2(0)",2,2,1,"1970"
"1424",1970-01-25,"Poza Rica, Mexico","Charter -Federal Electricity Commission
","Convair CV-240-2","19/19(0)",19,19,1,"1970"
"1425",1970-01-25,"Delhi, India","Royal Nepal Airlines
","Fokker F-27 Friendship 200","1/23(0)",1,23,0.04,"1970"
"1426",1970-01-28,"Batagai, Russia","Aeroflot
","Antonov AN-24","34/34(0)",34,34,1,"1970"
"1427",1970-01-28,"Cleveland, Ohio","TAG Airlines
","De Havilland Dove","9/9(0)",9,9,1,"1970"
"1428",1970-01-29,"Murmansk, Russia","Aeroflot
","Tupolev TU-124","11/11(0)",11,11,1,"1970"
"1429",1970-02-04,"Corrientes, Argentina","Aerolineas Argentinas
","Hawker Siddeley HS-748 1","37/37(0)",37,37,1,"1970"
"1430",1970-02-04,"Apuseni mountains, Romania","Tarom
","Antonov AN-24V","21/22(0)",21,22,0.95,"1970"
"1431",1970-02-06,"Samarkand, USSR","Aeroflot
","Ilyushin IL-18V","92/106(0)",92,106,0.87,"1970"
"1432",1970-02-10,"Long Island Sound, Connecticut","Pilgrim Airlines
","de Havilland Canada DHC-6 Twin Otter 100","5/5(0)",5,5,1,"1970"
"1433",1970-02-12,"Puerto Infrida, Colombia","Lineas Aéreas La Urraca
","Douglas DC-3 (C-47-DL)","12/12(2)",12,12,1,"1970"
"1434",1970-02-13,"Pin-la-Garenne, France","Avia-Taxi
","Cessna 402","10/10(0)",10,10,1,"1970"
"1435",1970-02-15,"Santo Domingo, Dominican Republic","Compania Dominicana de Aviacion
","McDonnell Douglas DC-9-32","102/102(0)",102,102,1,"1970"
"1436",1970-02-18,"Elizabeth, New Jersey","Suburban Airlines - Air Taxi
","Cessna 402","4/4(0)",4,4,1,"1970"
"1437",1970-02-19,"Congo","Air Congo
","Douglas DC-3","17/17(0)",17,17,1,"1970"
"1438",1970-02-21,"Zurich, Switzerland","Swissair
","Convair CV-990-30A-6","47/47(0)",47,47,1,"1970"
"1439",1970-03-06,"St. Moritz, Switzerland","Bavaria Flug
","Handley Page Jetstream 1","11/11(0)",11,11,1,"1970"
"1440",1970-03-14,"Belem Bay, Brazil","Paraense Transportes Aereos
","Fairchild-Hiller FH-227B","38/40(0)",38,40,0.95,"1970"
"1441",1970-03-16,"Da Nang, South Vietnam","Military - U.S. Navy
","Lockheed EC-121P","23/31(0)",23,31,0.74,"1970"
